provincia_iso,sexo,grupo_edad,fecha,num_casos,num_hosp,num_uci,num_def
BA,NC,60-69,2020-01-02,0,0,0,0
BA,NC,70-79,2020-01-02,0,0,0,0
BA,NC,80+,2020-01-02,0,0,0,0
BI,H,60-69,2020-01-02,0,0,0,0
BI,H,70-79,2020-01-02,0,0,0,0
BI,H,80+,2020-01-02,0,0,0,0
BI,M,60-69,2020-01-02,0,0,0,0
BI,M,70-79,2020-01-02,0,0,0,0
BI,M,80+,2020-01-02,0,0,0,0
BI,NC,60-69,2020-01-02,0,0,0,0
BI,NC,70-79,2020-01-02,0,0,0,0
BI,NC,80+,2020-01-02,0,0,0,0
BU,H,60-69,2020-01-02,0,0,0,0
BU,H,70-79,2020-01-02,0,0,0,0
BU,H,80+,2020-01-02,0,0,0,0
BU,M,60-69,2020-01-02,0,0,0,0
BU,M,70-79,2020-01-02,0,0,0,0
BU,M,80+,2020-01-02,0,0,0,0
BU,NC,60-69,2020-01-02,0,0,0,0
BU,NC,70-79,2020-01-02,0,0,0,0
BU,NC,80+,2020-01-02,0,0,0,0
C,H,60-69,2020-01-02,0,0,0,0
C,H,70-79,2020-01-02,0,0,0,0
C,H,80+,2020-01-02,0,0,0,0
C,M,60-69,2020-01-02,0,0,0,0
C,M,70-79,2020-01-02,0,0,0,0
C,M,80+,2020-01-02,0,0,0,0
C,NC,60-69,2020-01-02,0,0,0,0
C,NC,70-79,2020-01-02,0,0,0,0
C,NC,80+,2020-01-02,0,0,0,0
CA,H,60-69,2020-01-02,0,0,0,0
CA,H,70-79,2020-01-02,0,0,0,0
CA,H,80+,2020-01-02,0,0,0,0
CA,M,60-69,2020-01-02,0,0,0,0
CA,M,70-79,2020-01-02,0,0,0,0
CA,M,80+,2020-01-02,0,0,0,0
CA,NC,60-69,2020-01-02,0,0,0,0
CA,NC,70-79,2020-01-02,0,0,0,0
CA,NC,80+,2020-01-02,0,0,0,0
CC,H,60-69,2020-01-02,0,0,0,0
CC,H,70-79,2020-01-02,0,0,0,0
CC,H,80+,2020-01-02,0,0,0,0
CC,M,60-69,2020-01-02,0,0,0,0
CC,M,70-79,2020-01-02,0,0,0,0
CC,M,80+,2020-01-02,0,0,0,0
CC,NC,60-69,2020-01-02,0,0,0,0
CC,NC,70-79,2020-01-02,0,0,0,0
CC,NC,80+,2020-01-02,0,0,0,0
CE,H,60-69,2020-01-02,0,0,0,0
CE,H,70-79,2020-01-02,0,0,0,0
